name	type	units	description	sampling_frequency	reference	low_cutoff	high_cutoff	notch
AF3	EEG	uV	EEG channel at the AF3 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
F7	EEG	uV	EEG channel at the F7 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
F3	EEG	uV	EEG channel at the F3 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
FC5	EEG	uV	EEG channel at the FC5 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
T7	EEG	uV	EEG channel at the T7 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
P7	EEG	uV	EEG channel at the P7 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
O1	EEG	uV	EEG channel at the O1 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
O2	EEG	uV	EEG channel at the O2 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
P8	EEG	uV	EEG channel at the P8 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
T8	EEG	uV	EEG channel at the T8 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
FC6	EEG	uV	EEG channel at the FC6 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
F4	EEG	uV	EEG channel at the F4 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
F8	EEG	uV	EEG channel at the F8 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
AF4	EEG	uV	EEG channel at the AF4 10-20 scalp position.	128.0	n/a	n/a	n/a	n/a
