onset	duration	trial_type	protocol_session	block_in_session
n/a	30	right_leg	1	1
n/a	30	left_hand	1	2
n/a	30	break	1	3
n/a	30	right_hand	1	4
n/a	30	left_leg	1	5
n/a	30	right_hand	1	6
n/a	30	right_leg	1	7
n/a	30	left_hand	1	8
n/a	30	break	1	9
n/a	30	left_leg	1	10
n/a	30	right_hand	2	1
n/a	30	right_leg	2	2
n/a	30	left_hand	2	3
n/a	30	break	2	4
n/a	30	left_leg	2	5
n/a	30	right_hand	2	6
n/a	30	left_leg	2	7
n/a	30	break	2	8
n/a	30	right_leg	2	9
n/a	30	left_hand	2	10
n/a	30	right_hand	3	1
n/a	30	right_leg	3	2
n/a	30	left_hand	3	3
n/a	30	break	3	4
n/a	30	left_leg	3	5
n/a	30	right_hand	3	6
n/a	30	left_leg	3	7
n/a	30	break	3	8
n/a	30	right_leg	3	9
n/a	30	left_hand	3	10
